source1_entity_id	true_entity_id	true_source	previous_status	new_status	previous_reason	new_reason
S1-740270062	S3-942683049	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-108551334	S3-346161986	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-261865426	S2-583769145	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-200656762	S3-306285135	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	near_match_outside_top_k	near_match_outside_top_k
S1-57549624	S3-454756046	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-755898212	S3-991743375	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-11246184	S3-973887609	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-176496041	S2-418697003	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-308686319	S3-19840565	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-560853131	S2-108541462	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	missing_address_field	
S1-213642432	S2-352152197	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_variation_near_threshold	
S1-486816598	S3-977726063	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-486816598	S3-876521623	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-486816598	S3-631928003	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-486816598	S3-72537341	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-571777559	S2-105253566	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	name_variation_no_shared_tokens	
S1-692594454	S2-312050097	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-470841570	S3-796589634	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	near_match_outside_top_k	
S1-727253169	S3-789528040	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-748732045	S3-74037696	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-748732045	S3-222080114	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-896341705	S2-738898734	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	missing_address_field	
S1-848852562	S3-104163212	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-848852562	S3-930435324	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-848852562	S3-106709431	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-820060849	S3-978206103	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-790887991	S3-931397252	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-638110492	S3-4332992	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	moderate_similarity_below_retrieval_threshold	
S1-344557977	S2-237548317	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-999023589	S2-137990607	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-999023589	S3-586599866	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-999023589	S3-694949056	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-820196196	S3-895972861	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-820196196	S3-111158665	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-820196196	S3-512010478	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-126927804	S2-434788498	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-126927804	S3-773054197	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-979513513	S3-822534788	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-627406325	S2-990016149	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-800072803	S3-51678768	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-800072803	S3-303518217	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-705522256	S2-494110020	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-705522256	S3-779523916	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-916406672	S3-168595840	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-39641619	S2-712311340	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-39641619	S3-76298342	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-39641619	S3-245091850	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-84838337	S2-774689342	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-84838337	S3-532973078	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-917085859	S2-869027552	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-355110377	S2-741696974	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-2169715	S3-720040227	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-399649742	S3-417206503	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-6381641	S3-894616241	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-581574549	S2-750713886	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_similarity_below_top_k_threshold	
S1-960126068	S2-433145651	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-973233920	S3-110090880	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	name_variation_near_threshold	
S1-845493376	S3-74171796	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_similarity_below_top_k_threshold	address_similarity_below_top_k_threshold
S1-570361411	S2-603890088	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-570361411	S2-592744157	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-570361411	S3-935890494	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-570361411	S3-616914483	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-393137673	S2-486337760	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-912508322	S2-276782865	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-377745466	S3-402918963	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	near_match_outside_top_k	near_match_outside_top_k
S1-454231145	S2-290451718	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-454231145	S2-323003949	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	moderate_similarity_below_retrieval_threshold	
S1-454231145	S3-844062088	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	name_variation_near_threshold	
S1-800294363	S2-90945076	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-267736961	S3-555494719	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-932043072	S3-899187966	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-652366527	S2-546028668	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	near_match_outside_top_k	
S1-557018978	S3-265670689	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_token_order_variation	name_token_order_variation
S1-238331147	S2-667940175	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-238331147	S3-727417613	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-873914076	S3-56154787	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-481666470	S2-893661944	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-481666470	S3-857040894	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-335478469	S3-103297781	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	moderate_similarity_below_retrieval_threshold	
S1-294620997	S3-182699572	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_digit_variation	
S1-88592935	S2-298586784	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-88592935	S3-248819741	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-710909094	S3-17904782	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-710909094	S3-57569233	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-758075760	S2-65752861	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	missing_address_field	
S1-758075760	S3-957484857	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-758075760	S3-449179044	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-753495835	S2-518701172	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	moderate_similarity_below_retrieval_threshold	moderate_similarity_below_retrieval_threshold
S1-176567267	S3-12316490	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-835581754	S3-723539917	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-835581754	S3-793749688	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-933384875	S3-773914201	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-386654734	S3-508283569	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-95194363	S3-323416945	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-298646564	S3-390263275	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-68456921	S2-154545552	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-224534945	S2-518930624	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-419235241	S2-331102815	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-304785953	S3-633775998	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-53041046	S2-219647551	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-53041046	S3-674116550	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	both_name_and_address_weak	
S1-233040222	S3-946248914	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	missing_address_field	
S1-774387323	S3-163732269	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-872978967	S2-845711730	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	near_match_outside_top_k	near_match_outside_top_k
S1-872978967	S3-93715521	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-872978967	S3-435170483	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_digit_variation	
S1-358618259	S2-846810182	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-358618259	S3-270180570	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-524036030	S3-686482320	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_similarity_below_top_k_threshold	address_similarity_below_top_k_threshold
S1-219548536	S3-791592839	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	missing_address_field	
S1-145950089	S3-812978425	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-864797403	S3-144512575	S3	CANDIDATE_MISSING	CANDIDATE_PRESENT	moderate_similarity_below_retrieval_threshold	
S1-684772333	S2-375054962	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_no_shared_tokens	name_variation_no_shared_tokens
S1-476024246	S3-309211196	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	both_name_and_address_weak	both_name_and_address_weak
S1-766893478	S3-828038665	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-766893478	S3-449742245	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	name_variation_near_threshold	name_variation_near_threshold
S1-865131206	S3-219374335	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-405074253	S3-879445509	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-405074253	S3-180820413	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-448166395	S3-111294485	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_similarity_below_top_k_threshold	address_similarity_below_top_k_threshold
S1-6532344	S3-871070212	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
S1-380833681	S3-702670896	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-380833681	S3-372096408	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-25879788	S2-39945631	S2	CANDIDATE_MISSING	CANDIDATE_PRESENT	address_variation_near_threshold	
S1-393934451	S3-639279066	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	missing_address_field	missing_address_field
S1-155228361	S2-83805439	S2	CANDIDATE_MISSING	CANDIDATE_MISSING	address_token_order_or_variation	address_token_order_or_variation
S1-892233306	S3-610135229	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_digit_variation	address_digit_variation
S1-307702274	S3-978834272	S3	CANDIDATE_MISSING	CANDIDATE_MISSING	address_variation_near_threshold	address_variation_near_threshold
