source1_entity_id	true_entity_id	true_source	normalized_name_s1	normalized_name_true	normalized_address_s1	normalized_address_true	country_s1	country_true	name_similarity	address_similarity	digit_similarity	candidate_missing_reason	failed_strategy
S1-740270062	S3-942683049	S3	delhi chits private limited	delhi chíts limited center	je 2 block j gali number 9 beri wala bagh hari nagar near durga mandir delhi west delhi delhi	dl je 02 west delhi delhi	india	india	0.679245	0.355932	0.0	address_digit_variation	address_similarity|exact_address_blocking
S1-108551334	S3-346161986	S3	swastik food private limited	swastik food private enterprises	bungalow number 2 1st floor main patel road west patel nagar new delhi west delhi delhi		india	india	0.766667	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-261865426	S2-583769145	S2	jai software private limited	jai software private limited enterprises	new delhi plot number a 91 kh 100 9 swarn park mundka west delhi delhi		india	india	0.823529	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-200656762	S3-306285135	S3	uce innovative technical llc	uce innovnatvie téchnica1 llc	4902 indiana avenue fort wayne in	4902 indiana avenue ft wayen indiana	us	us	0.877193	0.869565	1.0	near_match_outside_top_k	name_similarity|address_similarity
S1-57549624	S3-454756046	S3	behavioral health specialists llc	behavioral health specialists l l c enterprises	5117 rolling meadows milan tn		us	us	0.825	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-755898212	S3-991743375	S3	jpy hospitalities	jpy center	rajkot plot number 53 1 umiya industrial aria opp madhuvan way bridge kotda sangani road lothada gujarat	lothada door number 51 1 ગુજરાત	india	india	0.444444	0.222222	0.333333	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-11246184	S3-973887609	S3	national education technologies of port neches incorporated	nationaleducationtechnologies com	2046 11th street port neches tx	eleventh street texas pt nehes	us	us	0.695652	0.590164	0.0	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-176496041	S2-418697003	S2	gold dynamic properties limited	गोल्ड डायनामिक प्रॉपर्टीज लिमिटेड	b 13 dainik janyug apartments c 1 vasundhra enclave delhi	block a 271 b 13 delhi east delhi	india	india	0.09375	0.377778	0.333333	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-308686319	S3-19840565	S3	beacon brothers private limited	beacon brothers prviate limited	5 1 arabinda road nabagram hooghly west bengal	pot 907 5 1 hooghly wb	india	india	0.967742	0.411765	0.666667	address_digit_variation	address_similarity|exact_address_blocking
S1-560853131	S2-108541462	S2	patriot investments	patriot ínvestments	7835 118th street seattle wa		us	us	0.947368	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-213642432	S2-352152197	S2	pramukh brothers private limited	prívate pramukh brothers limited	number 161 d 3rd floor ag 1 vikaspuri new delhi delhi	दिल्ली door number 161 d vikaspuri new delhi	india	india	0.75	0.659794	0.333333	address_variation_near_threshold	address_similarity|exact_address_blocking
S1-486816598	S3-977726063	S3	balashree technology private limited	balashree technology private	56 57 mumbai city maharashtra mumbai mittal chambers 228 nariman point	56 57 bombay mumbai city महाराष्ट्र	india	india	0.875	0.342857	0.666667	address_digit_variation	address_similarity|exact_address_blocking
S1-486816598	S3-876521623	S3	balashree technology private limited	balashree technology private	56 57 mumbai city maharashtra mumbai mittal chambers 228 nariman point	56 57 bombay mumbai city महाराष्ट्र	india	india	0.875	0.342857	0.666667	address_digit_variation	address_similarity|exact_address_blocking
S1-486816598	S3-631928003	S3	balashree technology private limited	balashree technology pichte limited	56 57 mumbai city maharashtra mumbai mittal chambers 228 nariman point	56 57 bombay mumbai city mh	india	india	0.929577	0.412371	0.666667	address_digit_variation	address_similarity|exact_address_blocking
S1-486816598	S3-72537341	S3	balashree technology private limited	btprivate com	56 57 mumbai city maharashtra mumbai mittal chambers 228 nariman point	56 57 bombay mumbai city महाराष्ट्र	india	india	0.44898	0.342857	0.666667	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-571777559	S2-105253566	S2	blue power private limited	ब्लू पावर प्राइवेट लिमिटेड	plot number 78 ajmer road sukhadiya nagar bhilwara bhilwara rajasthan	78 ajmer road bhilwara rajasthan	india	india	0.115385	0.633663	1.0	name_variation_no_shared_tokens	name_similarity|exact_name_blocking
S1-692594454	S2-312050097	S2	royal consultancy limited	royal conusrtay limited	siddhi ground floor plot number 14 15th road khar w mumbai maharashtra		india	india	0.875	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-470841570	S3-796589634	S3	cultural institute	cultural iastitue	4065 boulevard place indianapolis in	boulevard pl indianapolis indiana	us	us	0.914286	0.811594	0.0	near_match_outside_top_k	name_similarity|address_similarity
S1-727253169	S3-789528040	S3	gulf select spa incorporated	tavopyra	253 hull street brooklyn ny	brooklyn new york hull street	us	us	0.222222	0.428571	0.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
S1-748732045	S3-74037696	S3	twisted book store	twisted book store trading	54 bellwood avenue unit apartment 1 west seneca ny		us	us	0.818182	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-748732045	S3-222080114	S3	twisted book store	twisted stroe book	54 bellwood avenue unit apartment 1 west seneca ny	bellwood avenue apartment 1 buffalo new york	us	us	0.666667	0.702128	0.5	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-896341705	S2-738898734	S2	first cathedral partners	first cathedral partners corporation	4697 carolina avenue marion county or		us	us	0.8	0.0	0.0	missing_address_field	exact_address_blocking|address_similarity
S1-848852562	S3-104163212	S3	real energy private limited	real enye private limited	15 sbi employees pankaj chsl navghar road mulund east mumbai mumbai city maharashtra	mumbai 15 mh	india	india	0.923077	0.208333	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-848852562	S3-930435324	S3	real energy private limited	private real eoerby limited	15 sbi employees pankaj chsl navghar road mulund east mumbai mumbai city maharashtra	15 mumbai mh	india	india	0.555556	0.25	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-848852562	S3-106709431	S3	real energy private limited	m s real energy private limited	15 sbi employees pankaj chsl navghar road mulund east mumbai mumbai city maharashtra	15 mumbai mh	india	india	0.931034	0.25	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-820060849	S3-978206103	S3	tsg chits private limited	tsg chits private	c 506 5th floor block c gh 04 a amrapali castle scetor chi 5 greater noida dadri gautam buddha nagar uttar pradesh	c 506 5th floor block c gautam buddha nagar dadri उत्तर प्रदेश	india	india	0.809524	0.522727	0.666667	address_variation_near_threshold	address_similarity|exact_address_blocking
S1-790887991	S3-931397252	S3	agni college	agni center	37 3 kala complex fourth avenue ashok nagar chennai tamil nadu	37 3 chennai city region chennai tn	india	india	0.695652	0.43299	1.0	address_token_order_or_variation	address_similarity|exact_address_blocking
S1-638110492	S3-4332992	S3	super care limited	super limited care	kalkaji new delhi delhi j 86	j 86 south east new delhi dl	india	india	0.722222	0.5	1.0	moderate_similarity_below_retrieval_threshold	name_similarity|address_similarity
S1-344557977	S2-237548317	S2	smart industries private limited	स्मार्ट इंडस्ट्रीज प्राइवेट लिमिटेड	d 32 new ashok nagar new delhi new delhi east delhi delhi	gazipur delhi delhi null new delhi d 32	india	india	0.089552	0.3125	1.0	both_name_and_address_weak	exact_name_blocking|exact_address_blocking|name_similarity|address_similarity
